Order, Lambda, Accuracy,
1.5, 520.0, 1.0, 
1.5, 560.0, 1.0, 
1.5, 600.0, 1.0, 
1.5, 640.0, 1.0, 
1.5, 680.0, 1.0, 
1.5, 720.0, 1.0, 
1.5, 760.0, 1.0, 
1.5, 800.0, 1.0, 
1.5, 840.0, 1.0, 
1.5, 880.0, 1.0, 
1.5, 920.0, 1.0, 
1.5, 960.0, 1.0, 
1.5, 1000.0, 1.0, 
1.6, 0.0, 1.0, 
1.6, 40.0, 1.0, 
1.6, 80.0, 1.0, 
1.6, 120.0, 1.0, 
1.6, 160.0, 1.0, 
1.6, 200.0, 1.0, 
1.6, 240.0, 1.0, 
1.6, 280.0, 1.0, 
1.6, 320.0, 1.0, 
1.6, 360.0, 1.0, 
1.6, 400.0, 1.0, 
1.6, 440.0, 1.0, 
1.6, 480.0, 1.0, 
1.6, 520.0, 1.0, 
1.6, 560.0, 1.0, 
1.6, 600.0, 1.0, 
1.6, 640.0, 1.0, 
1.6, 680.0, 1.0, 
1.6, 720.0, 1.0, 
1.6, 760.0, 1.0, 
1.6, 800.0, 1.0, 
1.6, 840.0, 1.0, 
1.6, 880.0, 1.0, 
1.6, 920.0, 1.0, 
1.6, 960.0, 1.0, 
1.6, 1000.0, 1.0, 
1.7, 0.0, 1.0, 
1.7, 40.0, 1.0, 
1.7, 80.0, 1.0, 
1.7, 120.0, 1.0, 
1.7, 160.0, 1.0, 
1.7, 200.0, 1.0, 
1.7, 240.0, 1.0, 
1.7, 280.0, 1.0, 
1.7, 320.0, 1.0, 
1.7, 360.0, 1.0, 
1.7, 400.0, 1.0, 
1.7, 440.0, 1.0, 
1.7, 480.0, 1.0, 
1.7, 520.0, 1.0, 
1.7, 560.0, 1.0, 
1.7, 600.0, 1.0, 
1.7, 640.0, 1.0, 
1.7, 680.0, 1.0, 
1.7, 720.0, 1.0, 
1.7, 760.0, 1.0, 
1.7, 800.0, 1.0, 
1.7, 840.0, 1.0, 
1.7, 880.0, 1.0, 
1.7, 920.0, 1.0, 
1.7, 960.0, 1.0, 
1.7, 1000.0, 1.0, 
1.8, 0.0, 1.0, 
1.8, 40.0, 1.0, 
1.8, 80.0, 1.0, 
1.8, 120.0, 1.0, 
1.8, 160.0, 1.0, 
1.8, 200.0, 1.0, 
1.8, 240.0, 1.0, 
1.8, 280.0, 1.0, 
1.8, 320.0, 1.0, 
1.8, 360.0, 1.0, 
1.8, 400.0, 1.0, 
1.8, 440.0, 1.0, 
1.8, 480.0, 1.0, 
1.8, 520.0, 1.0, 
1.8, 560.0, 1.0, 
1.8, 600.0, 1.0, 
1.8, 640.0, 1.0, 
1.8, 680.0, 1.0, 
1.8, 720.0, 1.0, 
1.8, 760.0, 1.0, 
1.8, 800.0, 1.0, 
1.8, 840.0, 1.0, 
1.8, 880.0, 1.0, 
1.8, 920.0, 1.0, 
1.8, 960.0, 1.0, 
1.8, 1000.0, 1.0, 
1.9, 0.0, 1.0, 
1.9, 40.0, 1.0, 
1.9, 80.0, 1.0, 
1.9, 120.0, 1.0, 
1.9, 160.0, 1.0, 
1.9, 200.0, 1.0, 
1.9, 240.0, 1.0, 
1.9, 280.0, 1.0, 
1.9, 320.0, 1.0, 
1.9, 360.0, 1.0, 
1.9, 400.0, 1.0, 
1.9, 440.0, 1.0, 
1.9, 480.0, 1.0, 
1.9, 520.0, 1.0, 
1.9, 560.0, 1.0, 
1.9, 600.0, 1.0, 
1.9, 640.0, 1.0, 
1.9, 680.0, 1.0, 
1.9, 720.0, 1.0, 
1.9, 760.0, 1.0, 
1.9, 800.0, 1.0, 
1.9, 840.0, 1.0, 
1.9, 880.0, 1.0, 
1.9, 920.0, 1.0, 
1.9, 960.0, 1.0, 
1.9, 1000.0, 1.0, 
2.0, 0.0, 1.0, 
2.0, 40.0, 1.0, 
2.0, 80.0, 1.0, 
2.0, 120.0, 1.0, 
2.0, 160.0, 1.0, 
2.0, 200.0, 1.0, 
2.0, 240.0, 1.0, 
2.0, 280.0, 1.0, 
2.0, 320.0, 1.0, 
2.0, 360.0, 1.0, 
2.0, 400.0, 1.0, 
2.0, 440.0, 1.0, 
2.0, 480.0, 1.0, 
2.0, 520.0, 1.0, 
2.0, 560.0, 1.0, 
2.0, 600.0, 1.0, 
2.0, 640.0, 1.0, 
2.0, 680.0, 1.0, 
2.0, 720.0, 1.0, 
2.0, 760.0, 1.0, 
2.0, 800.0, 1.0, 
2.0, 840.0, 1.0, 
2.0, 880.0, 1.0, 
2.0, 920.0, 1.0, 
2.0, 960.0, 1.0, 
2.0, 1000.0, 1.0, 
